Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,United States not seasonaly adjusted,United States seasonaly adjusted
2017-12-31,180.140002,138.465286,143.53572,185.932453,224.416791,191.25143,136.368886,342.175252,158.169789,205.362563,143.590543,275.71161,142.894647,185.221937,129.971841,131.435931,147.379207,145.448525,165.687853,170.188739,186.148649,174.106119,115.783288,149.779078,143.902566,135.382929,197.695668,148.843287,220.539217,148.699006,161.704704,164.829256,152.72126,182.692103,178.81385,121.832491,155.978365,212.77358,164.334541,176.799254,149.269612,172.062393,164.386018,191.614575,187.437632,185.522033,175.676196,220.553276,140.521333,147.220398,193.557479,179.339626,180.3128759994
2017-11-30,180.19109158,137.90591479,143.71563905,185.8087304,223.47632886,190.4681981,137.02981919,341.36759334,159.21570082,205.14853973,143.06158851,274.14752163,143.71632786,185.44760077,130.84575588,131.61648249,147.29194094,145.43199375,165.43585614,170.86802826,187.46357286,174.4957733,116.5702843,150.70981813,144.15670129,135.64880201,198.42833685,148.57761537,220.31700967,149.36153043,160.83372025,165.06044957,153.09393964,181.2035269,178.45535639,122.42646626,156.06076196,212.94181042,165.41872843,177.16469338,149.69426169,172.3655478,164.12271429,191.15777673,186.97866296,186.3091519,175.45107297,219.35841317,141.15898484,147.22005645,193.25254388,179.25214558,179.25246681245
2017-10-31,180.64245175,137.69092052,143.81561827,185.38691862,223.01371582,189.97359352,137.68844525,341.13141715,160.35729014,204.96184824,142.18197743,271.88076918,144.84466171,185.8214192,131.42694095,131.60300496,147.25233586,145.6821365,165.02639749,171.54723874,188.55228907,174.6819055,116.89261174,151.62092963,143.96233052,135.88068986,198.20126555,148.1718566,219.88350241,150.16658554,160.049249,165.43346866,153.58284285,179.4641372,177.92295241,122.69431797,156.60751533,213.26543407,166.38908851,177.346718,150.01292906,172.69738921,163.79141259,191.00109476,186.56559085,186.8480958,175.43823509,218.37555201,141.52401508,146.96157662,192.74624475,179.2140149,178.17476104074
2017-09-30,180.8630763,137.18246941,143.81088919,185.08210069,222.74775764,189.24718311,138.34540466,342.07938425,161.21451043,204.47977474,141.95224797,270.04086525,145.66509514,185.44440724,131.92357911,131.670163,147.53585762,145.91397746,164.9329877,171.88624805,189.09778208,174.55341212,117.32306762,152.28476699,143.79934827,135.98716758,198.63167807,147.9366572,219.69883819,150.63368785,159.29414709,165.78895521,154.13809117,177.68201737,177.78898363,122.80251915,156.66177694,213.5157265,167.27368007,177.09922644,150.09018355,172.87796034,163.12152603,190.7475169,186.21903882,187.47367331,175.63081475,217.66644861,141.70409171,147.00020199,192.30371073,179.1951714,177.15032115314
2017-08-31,180.7677052,136.8324642,143.88330465,184.65332434,221.82730328,188.89003632,138.89931766,344.00726959,161.48410492,203.03238669,141.97918853,269.2957939,145.85518938,184.75775162,132.73724225,131.66481448,147.90607952,145.89194899,164.67589165,171.68910953,189.29884683,174.19009605,117.53717538,152.56923052,143.79373715,136.07878693,199.23597527,147.89685656,219.70883624,150.77917663,158.83055082,165.99556909,154.59233431,175.70395606,177.70148314,123.1562109,156.27812989,213.4920105,167.50595981,176.42473956,149.92744264,172.99702848,162.16354713,190.40595606,185.7660478,188.24492812,175.99741945,217.17270059,141.9297645,147.27604036,192.01354227,178.98252543,176.09517812996
2017-07-31,180.4719115,137.0531642,143.62006232,183.51873749,220.48852987,188.57493503,138.95852117,345.81865207,160.92491691,201.17675471,141.67236715,269.08756746,145.25525552,184.1584862,132.93185319,131.2265302,148.15625843,145.26338972,163.85053307,171.34736762,189.01967643,173.59662852,117.16726065,152.67174497,143.57921412,136.0458587,198.67947911,147.89062146,219.59001063,150.63978268,158.36428496,165.60928068,154.67390827,173.40365473,177.0390705,123.52612559,155.71231494,213.14877513,167.15186564,175.49934265,149.34681385,172.6717776,161.09659469,190.18363523,184.83516034,188.56861927,175.83293876,216.8322183,141.91776549,147.40600279,191.76887563,178.43060237,175.0852200169
2017-06-30,179.91045425,137.30666218,142.71416876,182.14525783,219.14380107,187.49054957,138.08830915,346.40773094,159.64550898,199.60416061,141.03966853,268.47187395,144.01458942,183.01628513,132.24725554,130.59339076,147.91369907,144.16784741,162.97180242,170.72842007,187.73864892,172.27761948,116.18571815,152.25884162,142.89529705,135.42042963,196.57537315,147.98274808,219.2098866,149.77566688,157.40420546,164.19677331,154.18297473,170.96537427,175.37713511,122.84813674,155.01833028,212.33645356,166.48412576,174.09604726,148.05910445,171.57073989,159.92504014,189.87511954,183.2391306,188.19429412,174.59340784,215.51515453,140.94537421,147.21005061,191.20113911,177.42576971,174.20993104557
2017-05-31,178.99986949,136.83216537,141.51083858,180.9211735,217.38709242,185.7761282,136.26344671,345.42215811,158.09199983,198.30088027,139.9490205,267.19098825,142.54414094,180.60554019,131.21207326,129.52291893,146.56555273,142.77336896,162.4901572,169.04986863,185.67557734,169.94088491,114.54799328,150.71481959,141.38098245,134.21280406,193.84110658,147.41321956,218.52522732,147.85281624,155.93163311,162.27016144,152.71952663,168.64169801,172.73086486,120.95719154,154.3208205,210.46142969,164.85767727,171.97248674,146.40269154,169.70421547,158.40904361,188.98590205,181.05231866,187.21816026,172.62802867,212.68125166,139.12790167,146.65167693,190.10803524,175.80477736,173.38799194808
2017-04-30,177.79364504,135.56129598,140.31462108,179.22042582,214.90157258,183.68607824,133.9966798,343.25939217,156.42916569,196.58216742,138.03322063,265.57376443,141.10562661,177.20050092,129.7097223,127.48472056,144.28442582,141.00504569,161.70493118,166.28182936,183.23121412,167.17130655,112.40879399,148.26619936,139.34013388,133.04495136,191.31596546,145.31732061,217.62984976,145.41174663,154.23540713,160.25121686,150.46282355,166.5536733,170.11847063,118.51864567,153.52153984,207.33111137,162.72299591,169.35209552,144.74547634,167.40421503,156.58680803,186.66880189,178.60561131,185.14267935,170.66848898,208.83218337,136.73698383,145.85260395,188.74811107,173.54139119,172.44929341149
2017-03-31,176.55087975,133.82406663,139.19244524,177.06443065,212.23037234,181.16090526,132.05260786,340.62431456,154.67695596,194.56543992,135.79369283,263.96847355,139.67512421,173.83224819,127.69398462,124.84239252,141.78413289,138.9566549,160.61137864,163.53622911,180.42747597,164.83220737,110.17867299,145.48249969,137.34577878,132.28537307,189.46761797,142.51520843,216.87578166,143.03496444,152.44813553,158.09596771,148.54011569,164.60976478,168.21969175,116.13732339,152.24001402,203.70790595,160.6713986,167.03777837,142.98900307,165.18084978,154.7189651,183.87566034,175.94271885,182.17812796,169.00347896,204.09928363,134.30704411,145.10485197,187.47368242,171.0638609,171.45442916307
2017-02-28,175.52269497,132.22703782,138.32943844,175.42869663,209.96793373,178.36028355,131.23117626,337.45518201,153.40325235,192.67848081,134.08306797,262.92012273,138.50590727,171.27686259,125.81351803,122.67800811,139.8179488,137.07882634,159.89116973,161.69437714,178.18075829,163.51875543,108.45116908,142.96249473,135.777685,131.86938656,188.49200489,140.23887078,216.36364742,141.11433487,150.79438493,156.46345248,147.65153242,162.88375572,167.25955336,114.25142348,150.67789049,200.52069099,158.69489269,165.61446457,141.49192135,163.5660401,152.86870765,181.82297505,173.14421837,179.5641519,167.55009513,199.49703073,132.79949646,144.79850401,186.45791669,169.02125847,170.51357024382
2017-01-31,174.85182536,131.26123993,137.82722904,174.40588602,208.47308818,175.82297777,131.39849358,333.43581591,152.98829277,190.90352789,133.09854446,262.67564551,137.96988508,169.65465801,125.04324523,121.85939703,138.98273596,135.83215197,159.52486508,160.83159538,177.43118518,163.26643124,107.59081148,141.56691838,135.30315608,131.75424194,188.12770727,139.1392145,216.00595404,139.97108255,149.57617616,156.08212792,147.58020184,161.65950755,167.31290168,113.6783063,149.51052045,198.40083246,157.74947378,165.08096826,140.7622021,162.76922259,151.52360775,180.03070117,170.84972149,178.49056154,166.45637545,196.42518771,132.22078701,145.02093794,185.88865731,167.86294553,169.54048706956
