No. of districts in each state or UT,,,,
Map key,Name of State or Union Territory (Italicized),Number of Districts,Population,Population/district
1,Andhra Pradesh,13,"49,386,799","3,798,985"
2,Arunachal Pradesh,22,"1,383,727","69,186"
3,Assam,33,"31,169,272","916,743"
4,Bihar,38,"104,099,452","2,739,459"
5,Chhattisgarh,27,"25,545,198","946,118"
6,Goa,2,"1,458,545","729,273"
7,Gujarat,33,"60,439,692","1,831,506"
8,Haryana,22,"25,351,462","1,152,339"
9,Himachal Pradesh,12,"6,864,602","572,050"
10,Jammu and Kashmir,22,"12,541,302","570,059"
11,Jharkhand,24,"32,988,134","1,374,506"
12,Karnataka,30,"61,095,297","2,036,510"
13,Kerala,14,"33,406,061","2,386,147"
14,Madhya Pradesh,51,"72,626,809","1,424,055"
15,Maharashtra,36,"112,374,333","3,121,509"
16,Manipur,9,"2,721,756","302,417"
17,Meghalaya,11,"2,966,889","269,717"
18,Mizoram,8,"1,097,206","137,151"
19,Nagaland,11,"1,978,502","179,864"
20,Odisha,30,"41,974,218","1,399,141"
21,Punjab,22,"27,743,338","1,261,061"
22,Rajasthan,33,"68,548,437","2,077,225"
23,Sikkim,4,"610,577","152,644"
24,Tamil Nadu,32,"72,147,030","2,254,595"
25,Tripura,8,"3,673,917","459,240"
26,Uttar Pradesh,75,"199,812,341","2,664,165"
27,Uttarakhand,13,"10,086,292","775,869"
28,West Bengal,23,"91,276,115","4,563,806"
29,Telangana,31,"35,193,978","1,135,290"
A,Andaman and Nicobar,3,"380,581","126,860"
B,Chandigarh,1,"1,055,450","1,055,450"
C,Dadra and Nagar Haveli,1,"343,709","343,709"
D,Daman and Diu,2,"243,247","121,624"
E,Lakshadweep,1,"64,473","64,473"
F,NCT Delhi,11,"16,787,941","1,526,176"
G,Puducherry,4,"1,247,953","311,988"
36,Total,712,"1,210,854,977","1,712,666"
,,,,
www.downloadexcelfiles.com,,,,
